recipe_id,ingredient_id,amount,measure,preparation,,,,,,,
3,11,10,oz,,,,,,,,3
3,12,6,oz,,,,,,,,4
3,13,3,cloves,,,,,,,,5
3,14,1,,,,,,,,,6
3,15,1/2,lb,,,,,,,,7
3,16,2,tbsp,,,,,,,,8
3,17,2,tbsp,,,,,,,,9
3,18,1/4,tsp,,,,,,,,10
4,19,6,oz,,,,,,,,11
4,20,3,oz,,,,,,,,12
4,21,4,oz,,,,,,,,13
4,22,3/4,cup,,,,,,,,14
4,23,1,bunch,,,,,,,,15
4,24,3,tbsp,,,,,,,,16
4,25,2,tbsp,,,,,,,,17
4,26,1,,,,,,,,,18
4,27,1,tbsp,,,,,,,,19
5,28,2,,,,,,,,,20
5,29,3/4,cup,,,,,,,,21
5,30,2,,,,,,,,,22
5,31,3,,,,,,,,,23
5,32,2,,,,,,,,,24
5,33,2,cloves,,,,,,,,25
5,34,1,oz,,,,,,,,26
5,35,1/4,cup,,,,,,,,27
5,36,2,tbsp,,,,,,,,28
5,37,2,tbsp,,,,,,,,29
5,38,1,tbsp,,,,,,,,30
5,39,1,tbsp,,,,,,,,31
6,43,10,oz,,,,,,,,32
6,44,4,oz,,,,,,,,33
6,45,2,,,,,,,,,34
6,46,1,lb,,,,,,,,35
6,47,1,stalk,,,,,,,,36
6,48,1,bunch,,,,,,,,37
6,49,2,tbsp,,,,,,,,38
6,50,2,tbsp,,,,,,,,39
6,51,1,tbsp,,,,,,,,40
6,52,1,tbsp,,,,,,,,41
7,53,2,,,,,,,,,42
7,54,1/2,Cup,,,,,,,,43
7,55,1,,,,,,,,,
7,56,1/2,lb,,,,,,,,
7,57,1,1-inch,,,,,,,,
7,58,1,,,,,,,,,
7,59,1,tbsp,,,,,,,,
7,60,1,tbsp,,,,,,,,
8,63,1,cup,,,,,,,,
8,40,2,tbsp,,,,,,,,
8,41,1,tbsp,,,,,,,,
8,42,1/4,tsp,,,,,,,,
8,61,1,cup,,,,,,,,
8,62,2,,,,,,,,,
8,64,1,,,,,,,,,
8,65,1/2,lb,,,,,,,,
8,66,1,,,,,,,,,
9,67,2,,,,,,,,,
9,68,8,,,,,,,,,
9,69,3,oz,,,,,,,,
9,70,2,Cloves,,,,,,,,
9,71,1,,,,,,,,,
9,72,1/2,bunch,,,,,,,,
9,73,2,tbsp,,,,,,,,
9,74,1,tbsp,,,,,,,,
9,75,1/4,cup,,,,,,,,
10,76,10,oz,,,,,,,,
10,77,1/2,lb,,,,,,,,
10,78,3,Cloves,,,,,,,,
10,79,2,,,,,,,,,
10,80,1,bunch,,,,,,,,
10,81,1,,,,,,,,,
10,82,2,tbsp,,,,,,,,
10,83,1/4,tsp,,,,,,,,
11,84,6,oz,,,,,,,,
11,85,4,oz,,,,,,,,
11,86,2,Cloves,,,,,,,,
11,87,2,,,,,,,,,
11,88,1,,,,,,,,,
11,89,l,bunch,,,,,,,,
11,90,2,tbsp,,,,,,,,
11,91,2,tbsp,,,,,,,,
11,92,1,,,,,,,,,
12,93,2,,,,,,,,,
12,94,1/2,cup,,,,,,,,
12,95,1,,,,,,,,,
12,96,1/2,bunch,,,,,,,,
12,97,3,tbsp,,,,,,,,
12,98,1 1/2,tbsp,,,,,,,,
12,99,1,1-inch piece,,,,,,,,
12,100,1,,,,,,,,,
12,101,1,tbsp,,,,,,,,
12,102,1,tbsp,,,,,,,,
12,103,1/4,cup,,,,,,,,
13,104,6,,,,,,,,,
13,105,2,oz,,,,,,,,
13,106,3,Cloves,,,,,,,,
13,107,1,,,,,,,,,
13,108,1,,,,,,,,,
13,109,1,,,,,,,,,
13,110,1,,,,,,,,,
13,111,1,bunch,,,,,,,,
13,112,1,,,,,,,,,
13,113,1/4,cup,,,,,,,,
13,114,1,tbsp,,,,,,,,
14,115,2,,,,,,,,,
14,116,4,oz,,,,,,,,
14,117,1,,,,,,,,,
14,118,1,,,,,,,,,
14,119,1,,,,,,,,,
14,120,1,,,,,,,,,
14,121,1,bunch,,,,,,,,
14,122,2,tbsp,,,,,,,,
14,123,1,tsp,,,,,,,,
15,124,6,oz,,,,,,,,
15,125,3,oz,,,,,,,,
15,126,3/4,cup,,,,,,,,
15,127,4,Cloves,,,,,,,,
15,128,1,,,,,,,,,
15,129,1,,,,,,,,,
15,130,1,,,,,,,,,
15,131,1,bunch,,,,,,,,
