id,name,description,image_url,kcals_per_serving
11,"'ABALONE,MIXED SPECIES,RAW'","'ABALONE,MIXED SPECIES,RAW'",,105
12,"'ABALONE,MXD SP,CKD,FRIED'","'ABALONE,MXD SP,CKD,FRIED'",,189
13,"'ABIYUCH,RAW'","'ABIYUCH,RAW'",,69
14,"'ACEROLA JUICE,RAW'","'ACEROLA JUICE,RAW'",,23
15,"'ACEROLA,(WEST INDIAN CHERRY),RAW'","'ACEROLA,(WEST INDIAN CHERRY),RAW'",,32
16,"'ACORN FLOUR,FULL FAT'","'ACORN FLOUR,FULL FAT'",,501
17,'ACORN STEW (APACHE)','ACORN STEW (APACHE)',,95
18,"'ACORNS,DRIED'","'ACORNS,DRIED'",,509
19,"'ACORNS,RAW'","'ACORNS,RAW'",,387
20,"'AGAVE,CKD (SOUTHWEST)'","'AGAVE,CKD (SOUTHWEST)'",,135
21,"'AGAVE,DRIED (SOUTHWEST)'","'AGAVE,DRIED (SOUTHWEST)'",,341
22,"'AGAVE,RAW (SOUTHWEST)'","'AGAVE,RAW (SOUTHWEST)'",,68
23,"'AGUTUK,FISH W/ SHORTENING (ALASKAN ICE CREAM) (ALASKA NATIVE'","'AGUTUK,FISH W/ SHORTENING (ALASKAN ICE CREAM) (ALASKA NATIVE'",,470
24,"'AGUTUK,FISH/BERRY W/ SEAL OIL (ICE CREAM) (ALASKA NATIVE)'","'AGUTUK,FISH/BERRY W/ SEAL OIL (ICE CREAM) (ALASKA NATIVE)'",,353
25,"'AGUTUK,MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE)'","'AGUTUK,MEAT-CARIBOU (ALASKAN ICE CREAM) (ALASKA NATIVE)'",,258
26,"'ALCOHOLIC BEV,BEER,LT'","'ALCOHOLIC BEV,BEER,LT'",,29
27,"'ALCOHOLIC BEV,BEER,LT,BUD LT'","'ALCOHOLIC BEV,BEER,LT,BUD LT'",,29
28,"'ALCOHOLIC BEV,BEER,LT,BUDWEISER SEL'","'ALCOHOLIC BEV,BEER,LT,BUDWEISER SEL'",,28
29,"'ALCOHOLIC BEV,BEER,LT,MICHELOB ULTRA'","'ALCOHOLIC BEV,BEER,LT,MICHELOB ULTRA'",,27
30,"'ALCOHOLIC BEV,BEER,REG,ALL'","'ALCOHOLIC BEV,BEER,REG,ALL'",,43
