3, Creamy Shrimp Spaghetti, 'with Broccoli & Meyer Lemon',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2017-02-02,,6,1,25,25,https://media.blueapron.com/recipes/2098/square_newsletter_images/1484849088-4-5728/130-2PF-creamy-shrimp-spaghetti-14497_v2_SQ.jpg?quality=80&width=850
4, Sunchoke & Egg Noodle Casserole, 'with Kale & Mornay Sauce',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2017-02-02,,2,1,15,15,https://media.blueapron.com/recipes/2100/square_newsletter_images/1485203052-4-1675/130-2PV1-Sunchoke-Egg-Noodle-Casserole-20345_SQ.jpg?quality=80&width=850
5, Tempura Fried Cod, 'with Thai-Style Vegetable Salad & Jasmine Rice',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2017-02-02,,5,1,15,35,https://media.blueapron.com/recipes/2132/square_newsletter_images/1486678508-4-0006-5209/220-2PF-Tempura-Fried-Cod-20606_x1c_WEB_SQ.jpg?quality=80&width=850
6, Baked Whole Wheat Rigatoni, 'With Cone Cabbage & Sage',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2016-10-10,,30,1,15,50,https://media.blueapron.com/recipes/1858/square_newsletter_images/1473297201-4-7818/101016_V1_RigatoniBake0714_SQ.jpg?quality=80&width=850
7, Seared Salmon & Fall Vegetables, 'With Apple-Brown Butter Vinaigrette',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2016-10-10,,22,1,20,25,https://media.blueapron.com/recipes/1856/square_newsletter_images/1475270682-4-8523/101016_2PF_SearedSalmon-0969_Reshoot_SQ.jpg?quality=80&width=850
8, Harissa Chicken Skewers, 'With Khorasan Wheat & Persimmon Salad',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2016-01-01,,25,1,50,45,https://media.blueapron.com/recipes/2008/square_newsletter_images/1478206004-4-6235/120516_2PP_HarissaChickenSkewers-2798_SQ.jpg?quality=80&width=850
9, Spicy Shrimp & Bucatini Pasta, 'With Kale',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2016-12-12,,11,1,55,55,https://media.blueapron.com/recipes/1933/square_newsletter_images/1478203767-4-2532/120516_2PF_ShrimpPasta-3205_SQ.jpg?quality=80&width=850
10, Mushroom & Fennel Fettuccine, 'With Hakurei Turnips & Mascarpone Cheese',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2016-11-11,,37,1,50,50,https://media.blueapron.com/recipes/1870/square_newsletter_images/1474051642-4-8225/101716_2V2_MushroomFettucine-1155_SQ.jpg?quality=80&width=850
11, Crispy Catfish, 'With Yellow Curry & Bird&#39;s Eye Chile Sauce',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2016-11-11,,47,1,25,30,https://media.blueapron.com/recipes/1867/square_newsletter_images/1475789651-4-4870/101716_2F_ThaiCatfishCurry_Reshoot1377_SQ.jpg?quality=80&width=850
12, Lamb, 'Beef & Mushroom Stew with Parmesan Potatoes & Chives',1. Choppy choppy. 2. Mixy mixy. 3. Stirry stirry 4. Cooky cooky. 5. Servey Servey. 6. Yummy yummy.,2022-06-06,,51,1,50,5,https://media.blueapron.com/recipes/2133/square_newsletter_images/1486678488-4-0003-9207/220-2PM-Lamb-Beef-Mushroom-Stew-20835_x1b_WEB_Center.jpg?quality=80&width=850
